# kaplan@pulsar:~/mwa/MandC$ psql -h mwa.mit.edu -U mwa 
# mwa=> select * from grid_points;
# retrieved 2012-05-02 by D Kaplan
#name  | number | azimuth  | elevation |   sigma    |                     delays                     
#------+--------+----------+-----------+------------+------------------------------------------------
 sweet |    133 | 218.6598 |   40.6123 | 7.8069e-08 | {12,8,4,0,17,13,9,5,22,18,14,10,27,23,19,15}
 sweet |    134 | 231.3402 |   40.6123 | 7.8069e-08 | {15,10,5,0,19,14,9,4,23,18,13,8,27,22,17,12}
 sweet |    135 | 308.6598 |   40.6123 | 7.8069e-08 | {27,22,17,12,23,18,13,8,19,14,9,4,15,10,5,0}
 sweet |    136 | 321.3402 |   40.6123 | 7.8069e-08 | {27,23,19,15,22,18,14,10,17,13,9,5,12,8,4,0}
 sweet |    137 |  26.5651 |   37.3163 | 8.1789e-08 | {18,21,24,27,12,15,18,21,6,9,12,15,0,3,6,9}
 sweet |    138 |  63.4349 |   37.3163 | 8.1789e-08 | {9,15,21,27,6,12,18,24,3,9,15,21,0,6,12,18}
 sweet |    139 | 116.5651 |   37.3163 | 8.1789e-08 | {0,6,12,18,3,9,15,21,6,12,18,24,9,15,21,27}
 sweet |    140 | 153.4349 |   37.3163 | 8.1789e-08 | {0,3,6,9,6,9,12,15,12,15,18,21,18,21,24,27}
 sweet |    141 | 206.5651 |   37.3163 | 8.1789e-08 | {9,6,3,0,15,12,9,6,21,18,15,12,27,24,21,18}
 sweet |    142 | 243.4349 |   37.3163 | 8.1789e-08 | {18,12,6,0,21,15,9,3,24,18,12,6,27,21,15,9}
 sweet |    143 | 296.5651 |   37.3163 | 8.1789e-08 | {27,21,15,9,24,18,12,6,21,15,9,3,18,12,6,0}
 sweet |    144 | 333.4349 |   37.3163 | 8.1789e-08 | {27,24,21,18,21,18,15,12,15,12,9,6,9,6,3,0}
 sweet |    145 |        0 |    33.912 | 8.5346e-08 | {21,21,21,21,14,14,14,14,7,7,7,7,0,0,0,0}
 sweet |    146 |       90 |    33.912 | 8.5346e-08 | {0,7,14,21,0,7,14,21,0,7,14,21,0,7,14,21}
 sweet |    147 |      180 |    33.912 | 8.5346e-08 | {0,0,0,0,7,7,7,7,14,14,14,14,21,21,21,21}
 sweet |    148 |      270 |    33.912 | 8.5346e-08 | {21,14,7,0,21,14,7,0,21,14,7,0,21,14,7,0}
 sweet |    149 |   8.1301 |   33.0368 | 8.6213e-08 | {21,22,23,24,14,15,16,17,7,8,9,10,0,1,2,3}
 sweet |    150 |       45 |   33.0368 | 8.6213e-08 | {15,20,25,30,10,15,20,25,5,10,15,20,0,5,10,15}
 sweet |    151 |  81.8699 |   33.0368 | 8.6213e-08 | {3,10,17,24,2,9,16,23,1,8,15,22,0,7,14,21}
 sweet |    152 |  98.1301 |   33.0368 | 8.6213e-08 | {0,7,14,21,1,8,15,22,2,9,16,23,3,10,17,24}
 sweet |    153 |      135 |   33.0368 | 8.6213e-08 | {0,5,10,15,5,10,15,20,10,15,20,25,15,20,25,30}
 sweet |    154 | 171.8699 |   33.0368 | 8.6213e-08 | {0,1,2,3,7,8,9,10,14,15,16,17,21,22,23,24}
 sweet |    155 | 188.1301 |   33.0368 | 8.6213e-08 | {3,2,1,0,10,9,8,7,17,16,15,14,24,23,22,21}
 sweet |    156 |      225 |   33.0368 | 8.6213e-08 | {15,10,5,0,20,15,10,5,25,20,15,10,30,25,20,15}
 sweet |    157 | 261.8699 |   33.0368 | 8.6213e-08 | {21,14,7,0,22,15,8,1,23,16,9,2,24,17,10,3}
 sweet |    158 | 278.1301 |   33.0368 | 8.6213e-08 | {24,17,10,3,23,16,9,2,22,15,8,1,21,14,7,0}
 sweet |    159 |      315 |   33.0368 | 8.6213e-08 | {30,25,20,15,25,20,15,10,20,15,10,5,15,10,5,0}
 sweet |    160 | 351.8699 |   33.0368 | 8.6213e-08 | {24,23,22,21,17,16,15,14,10,9,8,7,3,2,1,0}
 sweet |    161 |  33.6901 |   31.2488 |  8.792e-08 | {18,22,26,30,12,16,20,24,6,10,14,18,0,4,8,12}
 sweet |    162 |  56.3099 |   31.2488 |  8.792e-08 | {12,18,24,30,8,14,20,26,4,10,16,22,0,6,12,18}
 sweet |    163 | 123.6901 |   31.2488 |  8.792e-08 | {0,6,12,18,4,10,16,22,8,14,20,26,12,18,24,30}
 sweet |    164 | 146.3099 |   31.2488 |  8.792e-08 | {0,4,8,12,6,10,14,18,12,16,20,24,18,22,26,30}
 sweet |    165 | 213.6901 |   31.2488 |  8.792e-08 | {12,8,4,0,18,14,10,6,24,20,16,12,30,26,22,18}
 sweet |    166 | 236.3099 |   31.2488 |  8.792e-08 | {18,12,6,0,22,16,10,4,26,20,14,8,30,24,18,12}
 sweet |    167 | 303.6901 |   31.2488 |  8.792e-08 | {30,24,18,12,26,20,14,8,22,16,10,4,18,12,6,0}
 sweet |    168 | 326.3099 |   31.2488 |  8.792e-08 | {30,26,22,18,24,20,16,12,18,14,10,6,12,8,4,0}
 sweet |    169 |  15.9454 |   30.3331 | 8.8762e-08 | {21,23,25,27,14,16,18,20,7,9,11,13,0,2,4,6}
 sweet |    170 |  74.0546 |   30.3331 | 8.8762e-08 | {6,13,20,27,4,11,18,25,2,9,16,23,0,7,14,21}
 sweet |    171 | 105.9454 |   30.3331 | 8.8762e-08 | {0,7,14,21,2,9,16,23,4,11,18,25,6,13,20,27}
 sweet |    172 | 164.0546 |   30.3331 | 8.8762e-08 | {0,2,4,6,7,9,11,13,14,16,18,20,21,23,25,27}
 sweet |    173 | 195.9454 |   30.3331 | 8.8762e-08 | {6,4,2,0,13,11,9,7,20,18,16,14,27,25,23,21}
 sweet |    174 | 254.0546 |   30.3331 | 8.8762e-08 | {21,14,7,0,23,16,9,2,25,18,11,4,27,20,13,6}
 sweet |    175 | 285.9454 |   30.3331 | 8.8762e-08 | {27,20,13,6,25,18,11,4,23,16,9,2,21,14,7,0}
 sweet |    176 | 344.0546 |   30.3331 | 8.8762e-08 | {27,25,23,21,20,18,16,14,13,11,9,7,6,4,2,0}
 sweet |    177 |  23.1986 |   25.4582 | 9.2854e-08 | {21,24,27,30,14,17,20,23,7,10,13,16,0,3,6,9}
 sweet |    178 |  66.8014 |   25.4582 | 9.2854e-08 | {9,16,23,30,6,13,20,27,3,10,17,24,0,7,14,21}
 sweet |    179 | 113.1986 |   25.4582 | 9.2854e-08 | {0,7,14,21,3,10,17,24,6,13,20,27,9,16,23,30}
 sweet |    180 | 156.8014 |   25.4582 | 9.2854e-08 | {0,3,6,9,7,10,13,16,14,17,20,23,21,24,27,30}
 sweet |    181 | 203.1986 |   25.4582 | 9.2854e-08 | {9,6,3,0,16,13,10,7,23,20,17,14,30,27,24,21}
 sweet |    182 | 246.8014 |   25.4582 | 9.2854e-08 | {21,14,7,0,24,17,10,3,27,20,13,6,30,23,16,9}
 sweet |    183 | 293.1986 |   25.4582 | 9.2854e-08 | {30,23,16,9,27,20,13,6,24,17,10,3,21,14,7,0}
 sweet |    184 | 336.8014 |   25.4582 | 9.2854e-08 | {30,27,24,21,23,20,17,14,16,13,10,7,9,6,3,0}
 sweet |    185 |        0 |   18.4768 | 9.7539e-08 | {24,24,24,24,16,16,16,16,8,8,8,8,0,0,0,0}
 sweet |    186 |       90 |   18.4768 | 9.7539e-08 | {0,8,16,24,0,8,16,24,0,8,16,24,0,8,16,24}
 sweet |    187 |      180 |   18.4768 | 9.7539e-08 | {0,0,0,0,8,8,8,8,16,16,16,16,24,24,24,24}
 sweet |    188 |      270 |   18.4768 | 9.7539e-08 | {24,16,8,0,24,16,8,0,24,16,8,0,24,16,8,0}
 sweet |    189 |    7.125 |   17.0922 | 9.8298e-08 | {24,25,26,27,16,17,18,19,8,9,10,11,0,1,2,3}
 sweet |    190 |   82.875 |   17.0922 | 9.8298e-08 | {3,11,19,27,2,10,18,26,1,9,17,25,0,8,16,24}
 sweet |    191 |   97.125 |   17.0922 | 9.8298e-08 | {0,8,16,24,1,9,17,25,2,10,18,26,3,11,19,27}
 sweet |    192 |  172.875 |   17.0922 | 9.8298e-08 | {0,1,2,3,8,9,10,11,16,17,18,19,24,25,26,27}
 sweet |    193 |  187.125 |   17.0922 | 9.8298e-08 | {3,2,1,0,11,10,9,8,19,18,17,16,27,26,25,24}
 sweet |    194 |  262.875 |   17.0922 | 9.8298e-08 | {24,16,8,0,25,17,9,1,26,18,10,2,27,19,11,3}
 sweet |    195 |  277.125 |   17.0922 | 9.8298e-08 | {27,19,11,3,26,18,10,2,25,17,9,1,24,16,8,0}
 sweet |    196 |  352.875 |   17.0922 | 9.8298e-08 | {27,26,25,24,19,18,17,16,11,10,9,8,3,2,1,0}
 EOR1  |      0 |        0 |        90 |          0 | {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
 EOR1  |      1 |       90 |   83.1912 |          0 | {0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3}
 EOR1  |      2 |      270 |   83.1912 |          0 | {3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,0}
 EOR1  |      3 |       90 |   76.2838 |          0 | {0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6}
 EOR1  |      4 |      270 |   76.2838 |          0 | {6,4,2,0,6,4,2,0,6,4,2,0,6,4,2,0}
